id_policy;id_client;id_vehicle;id_claim;id_year;claim_amount;claim_nb
A00000269-V01;A00000269;V01;CL01;Year 0;1854;1
A00000269-V02;A00000269;V02;CL01;Year 0;1532;1
A00000271-V03;A00000271;V03;CL01;Year 0;-822;1
A00000281-V01;A00000281;V01;CL01;Year 0;2297;1
A00000281-V02;A00000281;V02;CL01;Year 0;334;1
A00000301-V02;A00000301;V02;CL01;Year 0;2228;1
A00000302-V01;A00000302;V01;CL01;Year 0;1296;1
A00000303-V01;A00000303;V01;CL01;Year 0;1797;1
A00000316-V02;A00000316;V02;CL01;Year 0;392;1
A00000324-V01;A00000324;V01;CL01;Year 0;94;1
A00000336-V01;A00000336;V01;CL01;Year 0;401;1
A00000343-V03;A00000343;V03;CL01;Year 0;1292;1
A00000352-V01;A00000352;V01;CL01;Year 0;1202;1
A00000354-V01;A00000354;V01;CL01;Year 0;1581;1
A00000359-V02;A00000359;V02;CL01;Year 0;749;1
A00000363-V01;A00000363;V01;CL01;Year 0;3071;1
A00000369-V01;A00000369;V01;CL01;Year 0;151;1
A00000386-V01;A00000386;V01;CL01;Year 0;166;1
A00000386-V02;A00000386;V02;CL01;Year 0;-547;1
A00000394-V01;A00000394;V01;CL01;Year 0;2389;1
A00000408-V02;A00000408;V02;CL01;Year 0;481;1
A00000412-V02;A00000412;V02;CL01;Year 0;1396;1
A00000414-V04;A00000414;V04;CL01;Year 0;5961;1
A00000414-V04;A00000414;V04;CL02;Year 0;570;1
A00000425-V01;A00000425;V01;CL01;Year 0;1464;1
A00000426-V01;A00000426;V01;CL01;Year 0;1583;1
A00000438-V02;A00000438;V02;CL01;Year 0;225;1
A00000438-V02;A00000438;V02;CL02;Year 0;985;1
A00000444-V01;A00000444;V01;CL01;Year 0;1559;1
A00000452-V02;A00000452;V02;CL01;Year 0;4768;1
A00000461-V03;A00000461;V03;CL01;Year 0;367;1
A00000464-V03;A00000464;V03;CL01;Year 0;5029;1
A00000469-V04;A00000469;V04;CL01;Year 0;1237;1
A00000470-V01;A00000470;V01;CL01;Year 0;102;1
A00000472-V01;A00000472;V01;CL01;Year 0;-1643;1
A00000475-V01;A00000475;V01;CL01;Year 0;281;1
A00000493-V01;A00000493;V01;CL01;Year 0;341;1
A00000497-V01;A00000497;V01;CL01;Year 0;-106;1
A00000504-V01;A00000504;V01;CL01;Year 0;200;1
A00000509-V02;A00000509;V02;CL01;Year 0;589;1
A00000509-V02;A00000509;V02;CL02;Year 0;349;1
A00000519-V01;A00000519;V01;CL01;Year 0;2011;1
A00000521-V02;A00000521;V02;CL01;Year 0;1085;1
A00000528-V01;A00000528;V01;CL01;Year 0;309;1
A00000528-V01;A00000528;V01;CL02;Year 0;1120;1
A00000538-V01;A00000538;V01;CL01;Year 0;3668;1
A00000549-V02;A00000549;V02;CL01;Year 0;278;1
A00000551-V01;A00000551;V01;CL01;Year 0;545;1
A00000555-V01;A00000555;V01;CL01;Year 0;913;1
A00000587-V01;A00000587;V01;CL01;Year 0;1003;1
A00000590-V01;A00000590;V01;CL01;Year 0;1318;1
A00000592-V03;A00000592;V03;CL01;Year 0;694;1
A00000592-V03;A00000592;V03;CL02;Year 0;513;1
A00000596-V01;A00000596;V01;CL01;Year 0;4885;1
A00000601-V01;A00000601;V01;CL01;Year 0;1698;1
A00000601-V02;A00000601;V02;CL01;Year 0;120;1
A00000604-V03;A00000604;V03;CL01;Year 0;232;1
A00000604-V03;A00000604;V03;CL02;Year 0;1959;1
A00000606-V01;A00000606;V01;CL01;Year 0;625;1
A00000621-V01;A00000621;V01;CL01;Year 0;133;1
A00000621-V03;A00000621;V03;CL01;Year 0;262;1
A00000632-V01;A00000632;V01;CL01;Year 0;2136;1
A00000641-V01;A00000641;V01;CL01;Year 0;308;1
A00000643-V02;A00000643;V02;CL01;Year 0;-439;1
A00000644-V01;A00000644;V01;CL01;Year 0;366;1
A00000646-V01;A00000646;V01;CL01;Year 0;4096;1
A00000659-V03;A00000659;V03;CL01;Year 0;1839;1
A00000666-V01;A00000666;V01;CL01;Year 0;247;1
A00000673-V01;A00000673;V01;CL01;Year 0;2401;1
A00000677-V03;A00000677;V03;CL01;Year 0;976;1
A00000689-V01;A00000689;V01;CL01;Year 0;7552;1
A00000699-V01;A00000699;V01;CL01;Year 0;166;1
A00000699-V01;A00000699;V01;CL02;Year 0;655;1
A00000707-V03;A00000707;V03;CL01;Year 0;492;1
A00000711-V01;A00000711;V01;CL01;Year 0;1227;1
A00000718-V01;A00000718;V01;CL01;Year 0;750;1
A00000718-V01;A00000718;V01;CL02;Year 0;639;1
A00000722-V01;A00000722;V01;CL01;Year 0;2391;1
A00000727-V01;A00000727;V01;CL01;Year 0;-579;1
A00000727-V02;A00000727;V02;CL01;Year 0;-741;1
A00000727-V02;A00000727;V02;CL02;Year 0;-906;1
A00000728-V01;A00000728;V01;CL01;Year 0;849;1
A00000730-V01;A00000730;V01;CL01;Year 0;1883;1
A00000730-V01;A00000730;V01;CL02;Year 0;146;1
A00000733-V01;A00000733;V01;CL01;Year 0;190;1
A00000751-V01;A00000751;V01;CL01;Year 0;-1276;1
A00000764-V01;A00000764;V01;CL01;Year 0;4065;1
A00000768-V01;A00000768;V01;CL01;Year 0;799;1
A00000775-V01;A00000775;V01;CL01;Year 0;644;1
A00000777-V02;A00000777;V02;CL01;Year 0;688;1
A00000779-V01;A00000779;V01;CL01;Year 0;2506;1
A00000785-V02;A00000785;V02;CL01;Year 0;1787;1
A00000791-V01;A00000791;V01;CL01;Year 0;6117;1
A00000791-V01;A00000791;V01;CL02;Year 0;335;1
A00000795-V01;A00000795;V01;CL01;Year 0;708;1
A00000832-V03;A00000832;V03;CL01;Year 0;515;1
A00000835-V02;A00000835;V02;CL01;Year 0;1008;1
A00000865-V03;A00000865;V03;CL01;Year 0;-450;1
A00000873-V01;A00000873;V01;CL01;Year 0;113;1
A00000875-V02;A00000875;V02;CL01;Year 0;1429;1
A00000876-V01;A00000876;V01;CL01;Year 0;371;1
A00000878-V01;A00000878;V01;CL01;Year 0;1129;1
A00000878-V01;A00000878;V01;CL02;Year 0;839;1
A00000879-V02;A00000879;V02;CL01;Year 0;678;1
A00000888-V01;A00000888;V01;CL01;Year 0;75;1
A00000889-V01;A00000889;V01;CL01;Year 0;5472;1
A00000895-V01;A00000895;V01;CL01;Year 0;902;1
A00000895-V01;A00000895;V01;CL02;Year 0;786;1
A00000897-V01;A00000897;V01;CL01;Year 0;570;1
A00000909-V01;A00000909;V01;CL01;Year 0;127;1
A00000913-V01;A00000913;V01;CL01;Year 0;975;1
A00000923-V01;A00000923;V01;CL01;Year 0;2029;1
A00000925-V01;A00000925;V01;CL01;Year 0;1283;1
A00000926-V01;A00000926;V01;CL01;Year 0;982;1
A00000937-V01;A00000937;V01;CL01;Year 0;556;1
A00000946-V01;A00000946;V01;CL01;Year 0;586;1
A00000954-V01;A00000954;V01;CL01;Year 0;1971;1
A00000954-V02;A00000954;V02;CL01;Year 0;1434;1
A00000957-V02;A00000957;V02;CL01;Year 0;769;1
A00000957-V02;A00000957;V02;CL02;Year 0;150;1
A00000958-V01;A00000958;V01;CL01;Year 0;422;1
A00000963-V01;A00000963;V01;CL01;Year 0;2905;1
A00000990-V01;A00000990;V01;CL01;Year 0;89;1
A00000992-V01;A00000992;V01;CL01;Year 0;902;1
A00000993-V02;A00000993;V02;CL01;Year 0;717;1
A00000995-V01;A00000995;V01;CL01;Year 0;83;1
A00001003-V01;A00001003;V01;CL01;Year 0;213;1
A00001004-V01;A00001004;V01;CL01;Year 0;-95;1
A00001006-V02;A00001006;V02;CL01;Year 0;620;1
A00001014-V01;A00001014;V01;CL01;Year 0;164;1
A00001025-V01;A00001025;V01;CL01;Year 0;114;1
A00001028-V02;A00001028;V02;CL01;Year 0;2559;1
A00001033-V03;A00001033;V03;CL01;Year 0;213;1
A00001035-V01;A00001035;V01;CL01;Year 0;3892;1
A00001085-V01;A00001085;V01;CL01;Year 0;481;1
A00001085-V01;A00001085;V01;CL02;Year 0;1208;1
A00001090-V01;A00001090;V01;CL01;Year 0;932;1
A00001093-V01;A00001093;V01;CL01;Year 0;490;1
A00001094-V01;A00001094;V01;CL01;Year 0;1142;1
A00001130-V02;A00001130;V02;CL01;Year 0;397;1
A00001130-V02;A00001130;V02;CL02;Year 0;254;1
A00001133-V01;A00001133;V01;CL01;Year 0;187;1
A00001142-V01;A00001142;V01;CL01;Year 0;302;1
A00001149-V01;A00001149;V01;CL01;Year 0;112;1
A00001154-V02;A00001154;V02;CL01;Year 0;2893;1
A00001154-V02;A00001154;V02;CL02;Year 0;1022;1
A00001154-V02;A00001154;V02;CL03;Year 0;2345;1
A00001166-V02;A00001166;V02;CL01;Year 0;109;1
A00001171-V01;A00001171;V01;CL01;Year 0;-859;1
A00001175-V02;A00001175;V02;CL01;Year 0;-1024;1
A00001179-V01;A00001179;V01;CL01;Year 0;2360;1
A00001188-V01;A00001188;V01;CL01;Year 0;1863;1
A00001199-V01;A00001199;V01;CL01;Year 0;1190;1
A00001201-V01;A00001201;V01;CL01;Year 0;-695;1
A00001205-V02;A00001205;V02;CL01;Year 0;176;1
A00001212-V01;A00001212;V01;CL01;Year 0;115;1
A00001223-V04;A00001223;V04;CL01;Year 0;909;1
A00001225-V01;A00001225;V01;CL01;Year 0;965;1
A00001229-V01;A00001229;V01;CL01;Year 0;1230;1
A00001230-V03;A00001230;V03;CL01;Year 0;4392;1
A00001242-V02;A00001242;V02;CL01;Year 0;785;1
A00001244-V01;A00001244;V01;CL01;Year 0;1898;1
A00001257-V02;A00001257;V02;CL01;Year 0;2915;1
A00001257-V02;A00001257;V02;CL02;Year 0;3022;1
A00001271-V01;A00001271;V01;CL01;Year 0;1048;1
A00001272-V02;A00001272;V02;CL01;Year 0;87;1
A00001273-V03;A00001273;V03;CL01;Year 0;360;1
A00001274-V01;A00001274;V01;CL01;Year 0;298;1
A00001289-V01;A00001289;V01;CL01;Year 0;1447;1
A00001296-V01;A00001296;V01;CL01;Year 0;181;1
A00001296-V01;A00001296;V01;CL02;Year 0;181;1
A00001297-V01;A00001297;V01;CL01;Year 0;797;1
A00001298-V01;A00001298;V01;CL01;Year 0;-1019;1
A00001303-V04;A00001303;V04;CL01;Year 0;108;1
A00001305-V02;A00001305;V02;CL01;Year 0;183;1
A00001308-V01;A00001308;V01;CL01;Year 0;1023;1
A00001309-V01;A00001309;V01;CL01;Year 0;4514;1
A00001309-V01;A00001309;V01;CL02;Year 0;491;1
A00001309-V02;A00001309;V02;CL01;Year 0;-931;1
A00001313-V01;A00001313;V01;CL01;Year 0;536;1
A00001314-V01;A00001314;V01;CL01;Year 0;447;1
A00001317-V01;A00001317;V01;CL01;Year 0;7436;1
A00001317-V01;A00001317;V01;CL02;Year 0;1162;1
A00001318-V01;A00001318;V01;CL01;Year 0;994;1
A00001328-V03;A00001328;V03;CL01;Year 0;1443;1
A00001328-V03;A00001328;V03;CL02;Year 0;3647;1
A00001338-V01;A00001338;V01;CL01;Year 0;1067;1
A00001344-V03;A00001344;V03;CL01;Year 0;1069;1
A00001345-V02;A00001345;V02;CL01;Year 0;2957;1
A00001350-V01;A00001350;V01;CL01;Year 0;2041;1
A00001354-V01;A00001354;V01;CL01;Year 0;1318;1
A00001355-V02;A00001355;V02;CL01;Year 0;122;1
A00001363-V01;A00001363;V01;CL01;Year 0;900;1
A00001363-V04;A00001363;V04;CL01;Year 0;6036;1
A00001382-V01;A00001382;V01;CL01;Year 0;662;1
A00001389-V02;A00001389;V02;CL01;Year 0;643;1
A00001400-V02;A00001400;V02;CL01;Year 0;2161;1
A00001401-V02;A00001401;V02;CL01;Year 0;7520;1
A00001405-V01;A00001405;V01;CL01;Year 0;577;1
A00001418-V01;A00001418;V01;CL01;Year 0;284;1
A00001418-V01;A00001418;V01;CL02;Year 0;434;1
A00001418-V01;A00001418;V01;CL03;Year 0;3597;1
A00001418-V01;A00001418;V01;CL04;Year 0;2198;1
A00001418-V02;A00001418;V02;CL01;Year 0;1875;1
A00001426-V01;A00001426;V01;CL01;Year 0;774;1
A00001430-V01;A00001430;V01;CL01;Year 0;724;1
A00001432-V01;A00001432;V01;CL01;Year 0;167;1
A00001432-V03;A00001432;V03;CL01;Year 0;217;1
A00001433-V01;A00001433;V01;CL01;Year 0;200;1
A00001435-V01;A00001435;V01;CL01;Year 0;1722;1
A00001435-V01;A00001435;V01;CL02;Year 0;3512;1
A00001436-V01;A00001436;V01;CL01;Year 0;128;1
A00001447-V02;A00001447;V02;CL01;Year 0;362;1
A00001455-V01;A00001455;V01;CL01;Year 0;2176;1
A00001455-V01;A00001455;V01;CL02;Year 0;1185;1
A00001473-V03;A00001473;V03;CL01;Year 0;4125;1
A00001493-V02;A00001493;V02;CL01;Year 0;136;1
A00001495-V01;A00001495;V01;CL01;Year 0;7780;1
A00001499-V01;A00001499;V01;CL01;Year 0;129;1
A00001506-V01;A00001506;V01;CL01;Year 0;3077;1
A00001506-V01;A00001506;V01;CL02;Year 0;1028;1
A00001513-V01;A00001513;V01;CL01;Year 0;179;1
A00001514-V01;A00001514;V01;CL01;Year 0;-1542;1
A00001514-V01;A00001514;V01;CL02;Year 0;144;1
A00001514-V01;A00001514;V01;CL03;Year 0;862;1
A00001514-V02;A00001514;V02;CL01;Year 0;4437;1
A00001517-V02;A00001517;V02;CL01;Year 0;55;1
A00001517-V02;A00001517;V02;CL02;Year 0;398;1
A00001536-V03;A00001536;V03;CL01;Year 0;720;1
A00001539-V01;A00001539;V01;CL01;Year 0;265;1
A00001540-V01;A00001540;V01;CL01;Year 0;734;1
A00001544-V01;A00001544;V01;CL01;Year 0;293;1
A00001548-V03;A00001548;V03;CL01;Year 0;1970;1
A00001548-V03;A00001548;V03;CL02;Year 0;341;1
A00001556-V02;A00001556;V02;CL01;Year 0;7848;1
A00001571-V02;A00001571;V02;CL01;Year 0;1158;1
A00001578-V01;A00001578;V01;CL01;Year 0;119;1
A00001587-V02;A00001587;V02;CL01;Year 0;1290;1
A00001591-V03;A00001591;V03;CL01;Year 0;2457;1
A00001591-V03;A00001591;V03;CL02;Year 0;2406;1
A00001606-V01;A00001606;V01;CL01;Year 0;4971;1
A00001613-V02;A00001613;V02;CL01;Year 0;92;1
A00001628-V02;A00001628;V02;CL01;Year 0;3298;1
A00001643-V02;A00001643;V02;CL01;Year 0;1457;1
A00001644-V01;A00001644;V01;CL01;Year 0;221;1
A00001646-V01;A00001646;V01;CL01;Year 0;204;1
A00001658-V01;A00001658;V01;CL01;Year 0;-512;1
A00001677-V01;A00001677;V01;CL01;Year 0;343;1
A00001692-V02;A00001692;V02;CL01;Year 0;2887;1
A00001694-V01;A00001694;V01;CL01;Year 0;1812;1
A00001695-V01;A00001695;V01;CL01;Year 0;568;1
A00001695-V01;A00001695;V01;CL02;Year 0;4243;1
A00001697-V01;A00001697;V01;CL01;Year 0;-640;1
A00001701-V02;A00001701;V02;CL01;Year 0;4796;1
A00001710-V01;A00001710;V01;CL01;Year 0;1761;1
A00001717-V02;A00001717;V02;CL01;Year 0;-69;1
A00001717-V02;A00001717;V02;CL02;Year 0;1074;1
A00001722-V01;A00001722;V01;CL01;Year 0;77;1
A00001730-V01;A00001730;V01;CL01;Year 0;813;1
A00001732-V01;A00001732;V01;CL01;Year 0;750;1
A00001738-V01;A00001738;V01;CL01;Year 0;129665;1
A00001739-V03;A00001739;V03;CL01;Year 0;269;1
A00001753-V03;A00001753;V03;CL01;Year 0;7387;1
A00001753-V03;A00001753;V03;CL02;Year 0;191;1
A00001760-V02;A00001760;V02;CL01;Year 0;999;1
A00001764-V02;A00001764;V02;CL01;Year 0;689;1
A00001765-V02;A00001765;V02;CL01;Year 0;934;1
A00001766-V02;A00001766;V02;CL01;Year 0;168;1
A00001766-V02;A00001766;V02;CL02;Year 0;4715;1
A00001769-V04;A00001769;V04;CL01;Year 0;1221;1
A00001769-V04;A00001769;V04;CL02;Year 0;1535;1
A00001770-V01;A00001770;V01;CL01;Year 0;1725;1
A00001770-V01;A00001770;V01;CL02;Year 0;4461;1
A00001806-V01;A00001806;V01;CL01;Year 0;1815;1
A00001826-V01;A00001826;V01;CL01;Year 0;90;1
A00001832-V03;A00001832;V03;CL01;Year 0;547;1
A00001833-V02;A00001833;V02;CL01;Year 0;-944;1
A00001839-V02;A00001839;V02;CL01;Year 0;219;1
A00001845-V01;A00001845;V01;CL01;Year 0;7178;1
A00001846-V01;A00001846;V01;CL01;Year 0;109;1
A00001855-V04;A00001855;V04;CL01;Year 0;-545;1
A00001865-V01;A00001865;V01;CL01;Year 0;2476;1
A00001866-V02;A00001866;V02;CL01;Year 0;157;1
A00001869-V02;A00001869;V02;CL01;Year 0;151;1
A00001869-V04;A00001869;V04;CL01;Year 0;2399;1
A00001871-V01;A00001871;V01;CL01;Year 0;1710;1
A00001875-V02;A00001875;V02;CL01;Year 0;3881;1
A00001882-V02;A00001882;V02;CL01;Year 0;87;1
A00001888-V03;A00001888;V03;CL01;Year 0;2288;1
A00001889-V01;A00001889;V01;CL01;Year 0;-824;1
A00001891-V01;A00001891;V01;CL01;Year 0;152;1
A00001894-V03;A00001894;V03;CL01;Year 0;2696;1
A00001898-V02;A00001898;V02;CL01;Year 0;7479;1
A00001900-V01;A00001900;V01;CL01;Year 0;190;1
A00001903-V01;A00001903;V01;CL01;Year 0;1604;1
A00001908-V02;A00001908;V02;CL01;Year 0;324;1
A00001911-V02;A00001911;V02;CL01;Year 0;694;1
A00001917-V01;A00001917;V01;CL01;Year 0;516;1
A00001925-V01;A00001925;V01;CL01;Year 0;638;1
A00001928-V01;A00001928;V01;CL01;Year 0;245;1
A00001930-V01;A00001930;V01;CL01;Year 0;1133;1
A00001935-V02;A00001935;V02;CL01;Year 0;2063;1
A00001947-V01;A00001947;V01;CL01;Year 0;4142;1
A00001960-V03;A00001960;V03;CL01;Year 0;634;1
A00001978-V01;A00001978;V01;CL01;Year 0;692;1
A00001994-V01;A00001994;V01;CL01;Year 0;83;1
A00001998-V02;A00001998;V02;CL01;Year 0;426;1
A00002001-V01;A00002001;V01;CL01;Year 0;3930;1
A00002001-V04;A00002001;V04;CL01;Year 0;1533;1
A00002003-V02;A00002003;V02;CL01;Year 0;-87;1
A00002004-V02;A00002004;V02;CL01;Year 0;279;1
A00002010-V01;A00002010;V01;CL01;Year 0;5721;1
A00002036-V01;A00002036;V01;CL01;Year 0;0;1
A00002047-V01;A00002047;V01;CL01;Year 0;462;1
A00002051-V01;A00002051;V01;CL01;Year 0;146;1
A00002051-V01;A00002051;V01;CL02;Year 0;104;1
A00002055-V01;A00002055;V01;CL01;Year 0;136;1
A00002056-V01;A00002056;V01;CL01;Year 0;197;1
A00002060-V02;A00002060;V02;CL01;Year 0;642;1
A00002062-V01;A00002062;V01;CL01;Year 0;334;1
A00002062-V02;A00002062;V02;CL01;Year 0;453;1
A00002068-V01;A00002068;V01;CL01;Year 0;1548;1
A00002090-V01;A00002090;V01;CL01;Year 0;1760;1
A00002093-V01;A00002093;V01;CL01;Year 0;1310;1
A00002100-V01;A00002100;V01;CL01;Year 0;-696;1
A00002111-V02;A00002111;V02;CL01;Year 0;843;1
A00002124-V01;A00002124;V01;CL01;Year 0;147;1
A00002127-V01;A00002127;V01;CL01;Year 0;118;1
A00002128-V01;A00002128;V01;CL01;Year 0;23;1
A00002138-V01;A00002138;V01;CL01;Year 0;719;1
A00002138-V01;A00002138;V01;CL02;Year 0;768;1
A00002143-V02;A00002143;V02;CL01;Year 0;571;1
A00002143-V02;A00002143;V02;CL02;Year 0;349;1
A00002167-V01;A00002167;V01;CL01;Year 0;336;1
A00002174-V03;A00002174;V03;CL01;Year 0;406;1
A00002189-V01;A00002189;V01;CL01;Year 0;1246;1
A00002205-V01;A00002205;V01;CL01;Year 0;140;1
A00002216-V03;A00002216;V03;CL01;Year 0;786;1
A00002217-V01;A00002217;V01;CL01;Year 0;1627;1
A00002220-V04;A00002220;V04;CL01;Year 0;1857;1
A00002223-V01;A00002223;V01;CL01;Year 0;783;1
A00002240-V01;A00002240;V01;CL01;Year 0;-416;1
A00002240-V01;A00002240;V01;CL02;Year 0;1287;1
A00002247-V01;A00002247;V01;CL01;Year 0;1538;1
A00002255-V02;A00002255;V02;CL01;Year 0;249;1
A00002257-V01;A00002257;V01;CL01;Year 0;1521;1
A00002264-V02;A00002264;V02;CL01;Year 0;203;1
A00002264-V03;A00002264;V03;CL01;Year 0;3396;1
A00002264-V03;A00002264;V03;CL02;Year 0;917;1
A00002269-V01;A00002269;V01;CL01;Year 0;11591;1
A00002285-V01;A00002285;V01;CL01;Year 0;757;1
A00002290-V01;A00002290;V01;CL01;Year 0;1753;1
A00002295-V01;A00002295;V01;CL01;Year 0;1744;1
A00002295-V01;A00002295;V01;CL02;Year 0;521;1
A00002314-V01;A00002314;V01;CL01;Year 0;1162;1
A00002314-V01;A00002314;V01;CL02;Year 0;338;1
A00002314-V01;A00002314;V01;CL03;Year 0;1093;1
A00002326-V03;A00002326;V03;CL01;Year 0;2296;1
A00002326-V04;A00002326;V04;CL01;Year 0;1817;1
A00002344-V01;A00002344;V01;CL01;Year 0;1056;1
A00002346-V01;A00002346;V01;CL01;Year 0;462;1
A00002347-V02;A00002347;V02;CL01;Year 0;616;1
A00002349-V02;A00002349;V02;CL01;Year 0;808;1
A00002356-V01;A00002356;V01;CL01;Year 0;2428;1
A00002356-V04;A00002356;V04;CL01;Year 0;-398;1
A00002361-V01;A00002361;V01;CL01;Year 0;1977;1
A00002363-V02;A00002363;V02;CL01;Year 0;467;1
A00002384-V01;A00002384;V01;CL01;Year 0;1018;1
A00002389-V01;A00002389;V01;CL01;Year 0;549;1
A00002390-V02;A00002390;V02;CL01;Year 0;2249;1
A00002392-V01;A00002392;V01;CL01;Year 0;1541;1
A00002392-V02;A00002392;V02;CL01;Year 0;2674;1
A00002394-V02;A00002394;V02;CL01;Year 0;193;1
A00002398-V01;A00002398;V01;CL01;Year 0;2523;1
A00002399-V01;A00002399;V01;CL01;Year 0;298;1
A00002422-V01;A00002422;V01;CL01;Year 0;1185;1
A00002422-V02;A00002422;V02;CL01;Year 0;643;1
A00002423-V05;A00002423;V05;CL01;Year 0;1248;1
A00002439-V01;A00002439;V01;CL01;Year 0;2697;1
A00002442-V02;A00002442;V02;CL01;Year 0;-961;1
A00002446-V01;A00002446;V01;CL01;Year 0;1983;1
A00002456-V01;A00002456;V01;CL01;Year 0;142;1
A00002460-V01;A00002460;V01;CL01;Year 0;345;1
A00002460-V01;A00002460;V01;CL02;Year 0;504;1
A00002474-V01;A00002474;V01;CL01;Year 0;419;1
A00002475-V01;A00002475;V01;CL01;Year 0;2980;1
A00002475-V02;A00002475;V02;CL01;Year 0;270;1
A00002478-V01;A00002478;V01;CL01;Year 0;159;1
A00002487-V01;A00002487;V01;CL01;Year 0;35;1
A00002491-V01;A00002491;V01;CL01;Year 0;423;1
A00002494-V01;A00002494;V01;CL01;Year 0;6662;1
A00002494-V01;A00002494;V01;CL02;Year 0;242;1
A00002497-V01;A00002497;V01;CL01;Year 0;1139;1
A00002518-V01;A00002518;V01;CL01;Year 0;714;1
A00002522-V01;A00002522;V01;CL01;Year 0;3702;1
A00002523-V02;A00002523;V02;CL01;Year 0;794;1
A00002552-V02;A00002552;V02;CL01;Year 0;6895;1
A00002552-V04;A00002552;V04;CL01;Year 0;139;1
A00002563-V02;A00002563;V02;CL01;Year 0;-337;1
A00002563-V03;A00002563;V03;CL01;Year 0;620;1
A00002570-V01;A00002570;V01;CL01;Year 0;3551;1
A00002570-V01;A00002570;V01;CL02;Year 0;873;1
A00002584-V01;A00002584;V01;CL01;Year 0;8535;1
A00002601-V01;A00002601;V01;CL01;Year 0;433;1
A00002601-V01;A00002601;V01;CL02;Year 0;67;1
A00002603-V01;A00002603;V01;CL01;Year 0;147;1
A00002603-V01;A00002603;V01;CL02;Year 0;333;1
A00002613-V02;A00002613;V02;CL01;Year 0;2419;1
A00002613-V02;A00002613;V02;CL02;Year 0;729;1
A00002615-V01;A00002615;V01;CL01;Year 0;-145;1
A00002627-V02;A00002627;V02;CL01;Year 0;-398;1
A00002633-V01;A00002633;V01;CL01;Year 0;282;1
A00002641-V01;A00002641;V01;CL01;Year 0;1690;1
A00002643-V01;A00002643;V01;CL01;Year 0;131;1
A00002645-V01;A00002645;V01;CL01;Year 0;2331;1
A00002653-V01;A00002653;V01;CL01;Year 0;1876;1
A00002655-V01;A00002655;V01;CL01;Year 0;1619;1
A00002661-V01;A00002661;V01;CL01;Year 0;182;1
A00002668-V02;A00002668;V02;CL01;Year 0;-1034;1
A00002672-V02;A00002672;V02;CL01;Year 0;157;1
A00002672-V02;A00002672;V02;CL02;Year 0;4281;1
A00002675-V01;A00002675;V01;CL01;Year 0;1128;1
A00002696-V01;A00002696;V01;CL01;Year 0;-325;1
A00002703-V01;A00002703;V01;CL01;Year 0;169;1
A00002721-V04;A00002721;V04;CL01;Year 0;1886;1
A00002722-V01;A00002722;V01;CL01;Year 0;981;1
A00002726-V01;A00002726;V01;CL01;Year 0;-576;1
A00002726-V01;A00002726;V01;CL02;Year 0;2384;1
A00002726-V03;A00002726;V03;CL01;Year 0;3926;1
A00002729-V01;A00002729;V01;CL01;Year 0;1203;1
A00002746-V01;A00002746;V01;CL01;Year 0;4552;1
A00002748-V01;A00002748;V01;CL01;Year 0;1861;1
A00002750-V02;A00002750;V02;CL01;Year 0;1841;1
